ABDOMEN,ABDOMINALS
ABDOMINALES,ABDOMINALS
ABDOMINALS,ABDOMINALS
ABDOMINALS,ABDOMINALS
ACROBACIA,ACROBACIES
ACROIOGA,ACROYOGA
ACUAGIM,AQUAGYM
AEROBIC,AEROBIC
AERODANCE,AERODANCE
AEROMODELISME,AEROMODELISME
AGILITY,AGILITAT
AGRICULTURA,AGRICULTURA
AIGUAFITNESS,AQUAFITNESS
AIGUAGIM,AQUAGYM
AIGUAGYM,AQUAGYM
AIKIDO,
AISOR,
ALPINISME,
ANDAR,CAMINAR
APARELLS,GIMNAS
APNEA,APNEA
AQUADINAMIC,AQUADYNAMIC
AQUAEROBIC,AQUAEROBIC
AQUAFITNESS,AQUAFITNESS
AQUAGIM,AQUAGYM
AQUAGYM,AQUAGYM
AQUASPINNING,AQUASPINNING
ARBITRE,ARBITRE
ARBITRO,ARBITRE
ARTES MARCIALES,ARTS MARCIALS
ATLETISME,ATLETISME
AUTOMOVILISMO,AUTOMOVILISME
BADMINTON,BADMINTON
BAILAR,BALL
BAILE,BALL
BALANCE,
BALL,BALL
BALLET,BALL
BALONCESTO,BASQUET
BARRANQUISMO,BARRANQUISME
BASQUET,BASQUET
BATUKA,
BICI,CICLISME
BICI ELIPTICA,CICLISME
BICI ESTATICA,CICLISME
BICICLETA,CICLISME
BICICLETA ELIPTICA,CICLISME
BICICLETA ELLIPTICA,CICLISME
BICICLETA ESTATICA,CICLISME
BICICLETA MONTANA,CICLISME
BICICLETA MONTAÑA,CICLISME
BICING,CICLISME
BILLAR,BILLAR
BODY,
BODY ATTACK,
BODY BALANCE,
BODY COMBAT,
BODY PAM,
BODY PAN,
BODY PUMP,
BODY SHAPE,
BODYCOMBAT,
BODYPUMP,
BOOTCAMP,
BOWLING,
BOXA,
BOXEO,
BOXING,
BTT,
BUCEO,
BUSSEIG,
CAIAC,
CAMINADES,
CAMINAR,
CAMINAR CINTA,
CAMINAR CIUTAT,
CAMINAR MUNTANYA,
CAMINAR PASO LIGERO,
CAMINAR RAPID,
CAMINATA,
CAMINATA ESPORTIVA,
CAPOEIRA,
CARDIO,
CARDIOBOX,
CARDIOVASCULAR,
CASTELLERS,
CASTELLS,
CAVALL,
CAZA,
CESTA PUNTA,
CHI KUNG,
CICLESPORT,
CICLING,
CICLING INDOOR,
CICLISME ESTATIC,
CICLISMO,
CICLOINDOOR,
CINTA,
CINTA,
CINTA CAMINAR,
CINTA CORRER,
CINTA ELIPTICA,
CIRCUITO,
CLASES,
CLASSES DIRIGIDES,
COMBAT,
CONDICIONAMENT FISIC,
CONSCIENCIA CORPORAL,
CORRECCIO POSTURAL,
CORRER,
CORRER ELIPTICA,
CORRER MUNTANYA,
CORTAR LEÑA,
COUNTRY,
CROSSFIT,
CUERDAS MILITARES,
CULTURISMO,
CURSAS,
CURSES D'ORIENTACIO,
CURSES MUNTANYA,
CXWORKS,
DANSA AFRICANA,
DANSA CONTEMPORANIA,
DANSA EXPRESSIVA,
DANSA JAZZ,
DANSA MODERNA,
DANSA PROFESSIONAL,
DANSA VENTRE,
DANZA,
DEFENSA PERSONAL,
DEPORTES SALA,
EL?LIPTICA,
ELECTRO,
ELECTROESTIMULACIO,
ELECTROFITNESS,
ELIPTICA,
ELIPTIQUE,
EL·LIPTICA,
ENDURO,
ENTRENO,
EQUITACION,
ERGOMETRE,
ESCACS,
ESCALADA,
ESCALERAS,
ESGRIMA,
ESKI,
ESPELEOLOGIA,
ESPORT,
ESQUAIX,
ESQUENA SANA,
ESQUI,
ESQUI ALPI,
ESQUI FONS,
ESQUI MUNTANYA,
ESQUI NORDIC,
ESQUIAR,
ESTIRAMENTS,
ESTIRAMIENTOS,
EXCERCICI,
EXCURSIO,
EXCURSIONISME,
EXERCICIS GIMNASTICA,
EXTREMO,
FEDERAT,
FEINES MANUALS CAMP,
FELDENKRAIS,
FISIO ACTIVA,
FITNESS,
FLEXIONES,
FOOTING,
FREELETICS,
FRONTENIS,
FRONTENNIS,
FRONTON,
FUTBOL,
FUTBOL AMERICA,
FUTBOL SALA,
GAC,
GIMNAS,
GIMNAS MANTENIMENT,
GIMNASIA GENERAL,
GIMNASIA HIPOPRESIVA,
GIMNASIO,
GIMNASTICA,
GIMNASTICA ABDOMINAL HIPOPRESSIVA,
GIMNASTICA HIPOPRESSIVA,
GOLF,
GRAVITY,
HAPKIDO,
HARD TRAINING,
HIIT,
HIPICA,
HIPOPRESIVOS,
HIPOPRESSIUS,
HOCKEY,
HOCKEY HERBA,
HOQUEI,
HOQUEI HERBA,
HOQUEI SOBRE PATINS,
HORTICULTURA,
INTERVAL,
JARDINERIA,
JAZZ STEPS,
JIU JITSU,
JOGGING,
JUDO,
KAJAC,
KANGOO JUMP,
KARTING,
KAYAK,
KENDO,
KICK BOXING,
KITE SURF,
KYUDO,
MANTENIMIENTO,
MAQUINA CARDIO,
MAQUINAS,
MAQUINAS GIMNASIO,
MAQUINES GIMNAS,
MARCHA,
MARCHA NORDICA,
MARXA,
MARXA ATLETICA,
MARXA NORDICA,
MARXA NORDICA,
MEDITACION,
MICROGIMNASIA,
MONTANISME,
MOTO,
MOTO AIGUA,
MOTOCICLISME,
MOTOCROSS,
MOUNTAIN BIKE,
MUNTANYA,
MUNTANYISME,
MUSCULACION,
NATACION,
NAUTICA,
NAVEGACIO VELA,
NAVEGACION,
NEDAR,
NORDIC WALKING,
PADDLE SURF,
PADEL,
PADELSURF,
PAGES,
PARAPENT,
PASEAR,
PATINAGE,
PATINATGE VELOCITAT,
PELOTA VASCA,
PESAS,
PESCA,
PESCA SUBMARINA,
PESES,
PESES GIMNAS,
PETANCA,
PILATES,
PILOXING,
PING PONG,
PIRAGUISMO,
PISCINA,
POLE SPORT,
POWER,
PREPARACION PARTO,
PUJAR ESCALES,
QI GONG,
QI GONG CHI KUNG,
RADIKAL,
RAFTING,
RAQUET BALL (SQUASH),
RAQUETES,
RAQUETES NEU,
RAQUETES NEU,
REMO,
RESISTENCIA,
RPG,
RUGBY,
RUGBY TOUCH,
RUNNING,
RUNNING CINTA,
RUTINA,
SABAM,
SARDANA CONCURS,
SENDERISME,
SENDERISMO,
SH'BAM (BAILE),
SKY,
SLOTGIM,
SNORKEL,
SNOW,
SNOWBOARD,
SOFT RACKET,
SOFT RAQUET,
SOFT RAQUET (SQUASH),
SPINING,
SPINNING,
SQUASH,
STEP,
SUBMARINISME,
SUBMARINISMO,
SURF,
TABLA,
TACFIT,
TAE KWON DO,
TAEKWONDO,
TAI CHI,
TAI TXI,
TBC,
TECNICA ,
TELES ACROBATIQUES,
TENIS MESA,
TENIS MESA,
TENIS TAULA,
TIR,
TIR AMB ARC,
TIR ARC,
TIR OLIMPIC,
TIRO ARCO,
TIRO CON ARCO,
TIRO OLIMPICO,
TIRO PRACTICO,
TONIFICACIO,
TONIFICACIO MUSCULAR,
TONIFICACION,
TRAIL RUNNING,
TRAINING,
TRASLLAT CAPSES,
TREKKING,
TRIAL,
TRIATLO,
TRX,
TXI KUN,
TXI KUNG,
ULTIMATE,
ULTRA TRAILS,
VARIOS,
VELA,
VELA CREUER,
VELA LIGERA,
VELA LLEUGERA,
VIA FERRATA,
VIAS FERRATAS,
VIES FERRATES,
VOL LLIURE,
VOLEI,
VOLEIBOL,
WATERPOLO,
WINDSURF,
WINDSURFING,
YOGA,
ZOO,
ZUMBA,
